+------------+---------+----------------------------+-------------+---------------------+
|  Archivo   | Decimal |          Binario           | Hexadecimal | Tiempo Transcurrido |
+------------+---------+----------------------------+-------------+---------------------+
| P2/TC1.txt | 6980368 | 0b11010101000001100010000  |  0x6a8310   |      0.0070 s       |
| P2/TC1.txt | 5517055 | 0b10101000010111011111111  |  0x542eff   |      0.0070 s       |
| P2/TC1.txt | 1336159 |  0b101000110001101011111   |  0x14635f   |      0.0070 s       |
| P2/TC1.txt | 6750185 | 0b11001101111111111101001  |  0x66ffe9   |      0.0070 s       |
| P2/TC1.txt | 1771937 |  0b110110000100110100001   |  0x1b09a1   |      0.0070 s       |
| P2/TC1.txt | 360952  |   0b1011000000111111000    |   0x581f8   |      0.0070 s       |
| P2/TC1.txt | 5672561 | 0b10101101000111001110001  |  0x568e71   |      0.0070 s       |
| P2/TC1.txt | 916583  |   0b11011111110001100111   |   0xdfc67   |      0.0070 s       |
| P2/TC1.txt | 2700138 |  0b1010010011001101101010  |  0x29336a   |      0.0070 s       |
| P2/TC1.txt | 9645053 | 0b100100110010101111111101 |  0x932bfd   |      0.0070 s       |
| P2/TC1.txt | 1181110 |  0b100100000010110110110   |  0x1205b6   |      0.0070 s       |
| P2/TC1.txt | 1492185 |  0b101101100010011011001   |  0x16c4d9   |      0.0070 s       |
| P2/TC1.txt | 4018595 |  0b1111010101000110100011  |  0x3d51a3   |      0.0070 s       |
| P2/TC1.txt | 7654888 | 0b11101001100110111101000  |  0x74cde8   |      0.0070 s       |
| P2/TC1.txt | 7062453 | 0b11010111100001110110101  |  0x6bc3b5   |      0.0070 s       |
| P2/TC1.txt | 2478010 |  0b1001011100111110111010  |  0x25cfba   |      0.0070 s       |
| P2/TC1.txt | 6134768 | 0b10111011001101111110000  |  0x5d9bf0   |      0.0070 s       |
| P2/TC1.txt | 8420417 | 0b100000000111110001000001 |  0x807c41   |      0.0070 s       |
| P2/TC1.txt | 2917489 |  0b1011001000010001110001  |  0x2c8471   |      0.0070 s       |
| P2/TC1.txt | 3340773 |  0b1100101111100111100101  |  0x32f9e5   |      0.0070 s       |
| P2/TC1.txt | 1115956 |  0b100010000011100110100   |  0x110734   |      0.0070 s       |
| P2/TC1.txt | 9172192 | 0b100010111111010011100000 |  0x8bf4e0   |      0.0070 s       |
| P2/TC1.txt | 6271996 | 0b10111111011001111111100  |  0x5fb3fc   |      0.0070 s       |
| P2/TC1.txt | 8686939 | 0b100001001000110101011011 |  0x848d5b   |      0.0070 s       |
| P2/TC1.txt |  50986  |     0b1100011100101010     |   0xc72a    |      0.0070 s       |
| P2/TC1.txt | 9376410 | 0b100011110001001010011010 |  0x8f129a   |      0.0070 s       |
| P2/TC1.txt | 5962327 | 0b10110101111101001010111  |  0x5afa57   |      0.0070 s       |
| P2/TC1.txt | 7686891 | 0b11101010100101011101011  |  0x754aeb   |      0.0070 s       |
| P2/TC1.txt | 6615183 | 0b11001001111000010001111  |  0x64f08f   |      0.0070 s       |
| P2/TC1.txt | 1864844 |  0b111000111010010001100   |  0x1c748c   |      0.0070 s       |
| P2/TC1.txt | 3329962 |  0b1100101100111110101010  |  0x32cfaa   |      0.0070 s       |
| P2/TC1.txt | 3942794 |  0b1111000010100110001010  |  0x3c298a   |      0.0070 s       |
| P2/TC1.txt | 2614836 |  0b1001111110011000110100  |  0x27e634   |      0.0070 s       |
| P2/TC1.txt | 7406772 | 0b11100010000010010110100  |  0x7104b4   |      0.0070 s       |
| P2/TC1.txt | 2384190 |  0b1001000110000100111110  |  0x24613e   |      0.0070 s       |
| P2/TC1.txt | 398347  |   0b1100001010000001011    |   0x6140b   |      0.0070 s       |
| P2/TC1.txt | 8698503 | 0b100001001011101010000111 |  0x84ba87   |      0.0070 s       |
| P2/TC1.txt | 9551696 | 0b100100011011111101010000 |  0x91bf50   |      0.0070 s       |
| P2/TC1.txt | 1019556 |   0b11111000111010100100   |   0xf8ea4   |      0.0070 s       |
| P2/TC1.txt | 1677430 |  0b110011001100001110110   |  0x199876   |      0.0070 s       |
| P2/TC1.txt | 3479629 |  0b1101010001100001001101  |  0x35184d   |      0.0070 s       |
| P2/TC1.txt | 9309008 | 0b100011100000101101010000 |  0x8e0b50   |      0.0070 s       |
| P2/TC1.txt | 5266170 | 0b10100000101101011111010  |  0x505afa   |      0.0070 s       |
| P2/TC1.txt | 4094340 |  0b1111100111100110000100  |  0x3e7984   |      0.0070 s       |
| P2/TC1.txt | 1754055 |  0b110101100001111000111   |  0x1ac3c7   |      0.0070 s       |
| P2/TC1.txt | 5861132 | 0b10110010110111100001100  |  0x596f0c   |      0.0070 s       |
| P2/TC1.txt | 4471329 | 0b10001000011101000100001  |  0x443a21   |      0.0070 s       |
| P2/TC1.txt | 8826052 | 0b100001101010110011000100 |  0x86acc4   |      0.0070 s       |
| P2/TC1.txt | 7469325 | 0b11100011111100100001101  |  0x71f90d   |      0.0070 s       |
| P2/TC1.txt | 1973172 |  0b111100001101110110100   |  0x1e1bb4   |      0.0070 s       |
