+--------------------+------------+------------+------------+------------+------------+
|      Palabra       | P3/TC1.txt | P3/TC2.txt | P3/TC3.txt | P3/TC4.txt | P3/TC5.txt |
+--------------------+------------+------------+------------+------------+------------+
|    achievement     |     1      |     0      |     0      |     0      |     0      |
|      acquired      |     0      |     0      |     0      |     0      |     1      |
|    acquisition     |     0      |     0      |     1      |     0      |     0      |
|      adequate      |     1      |     0      |     0      |     0      |     0      |
|       adjust       |     0      |     0      |     0      |     0      |     1      |
|     adjustable     |     0      |     0      |     0      |     1      |     0      |
|       admin        |     0      |     0      |     0      |     1      |     0      |
|     adolescent     |     0      |     0      |     0      |     1      |     0      |
|      advances      |     0      |     0      |     1      |     0      |     0      |
|     advantage      |     0      |     0      |     0      |     0      |     1      |
|     advantages     |     0      |     1      |     0      |     0      |     0      |
|     adventures     |     1      |     0      |     0      |     0      |     0      |
|      affairs       |     0      |     0      |     0      |     0      |     1      |
|      affects       |     0      |     0      |     1      |     0      |     0      |
|     afternoon      |     0      |     1      |     0      |     0      |     0      |
|     afterwards     |     0      |     0      |     0      |     0      |     1      |
|       agenda       |     0      |     0      |     0      |     0      |     1      |
|        aids        |     0      |     0      |     1      |     0      |     0      |
|        aim         |     0      |     0      |     0      |     0      |     1      |
|       albums       |     0      |     0      |     0      |     0      |     1      |
|    albuquerque     |     0      |     0      |     0      |     1      |     0      |
|      algebra       |     0      |     1      |     0      |     0      |     0      |
|      allergy       |     0      |     0      |     1      |     0      |     0      |
|      allowed       |     0      |     0      |     0      |     0      |     1      |
|    alternatives    |     0      |     0      |     0      |     1      |     0      |
|       amazon       |     0      |     0      |     0      |     1      |     0      |
|      ambient       |     0      |     0      |     1      |     0      |     0      |
|     americans      |     0      |     0      |     0      |     0      |     1      |
|      amongst       |     0      |     4      |     0      |     0      |     0      |
|      amounts       |     0      |     1      |     0      |     0      |     0      |
|     amsterdam      |     0      |     0      |     0      |     0      |     1      |
|         an         |     0      |     0      |     1      |     0      |     0      |
|        anal        |     1      |     0      |     0      |     0      |     0      |
|      analyst       |     0      |     0      |     0      |     1      |     0      |
|      analyzed      |     0      |     0      |     1      |     0      |     0      |
|       anchor       |     0      |     1      |     0      |     0      |     0      |
|      andrews       |     1      |     0      |     0      |     0      |     0      |
|        andy        |     0      |     0      |     0      |     0      |     1      |
|       annual       |     0      |     0      |     0      |     2      |     0      |
|     answering      |     0      |     1      |     0      |     0      |     0      |
|    anthropology    |     0      |     0      |     0      |     0      |     1      |
|      antique       |     0      |     0      |     0      |     0      |     1      |
|      antiques      |     0      |     0      |     1      |     0      |     0      |
|      anybody       |     0      |     0      |     0      |     0      |     1      |
|      anytime       |     0      |     0      |     0      |     0      |     1      |
|      anywhere      |     0      |     0      |     0      |     0      |     1      |
|       apache       |     0      |     1      |     0      |     0      |     0      |
|     appearing      |     0      |     0      |     0      |     0      |     1      |
|       apple        |     0      |     0      |     1      |     0      |     0      |
|      applied       |     0      |     0      |     0      |     0      |     1      |
|     appreciate     |     0      |     0      |     0      |     1      |     0      |
|      approve       |     0      |     0      |     0      |     1      |     0      |
|         ar         |     0      |     0      |     0      |     1      |     2      |
|       arabia       |     0      |     0      |     0      |     1      |     0      |
|     architects     |     0      |     0      |     0      |     1      |     0      |
|      archive       |     0      |     0      |     1      |     0      |     0      |
|      archived      |     0      |     0      |     1      |     0      |     0      |
|       argue        |     0      |     0      |     0      |     0      |     1      |
|       argued       |     0      |     0      |     1      |     0      |     0      |
|       arise        |     0      |     0      |     0      |     0      |     1      |
|      arkansas      |     0      |     0      |     0      |     0      |     1      |
|     arthritis      |     0      |     0      |     0      |     1      |     0      |
|       aruba        |     0      |     0      |     1      |     0      |     0      |
|       asian        |     0      |     0      |     0      |     1      |     0      |
|       aside        |     0      |     0      |     1      |     0      |     0      |
|        asin        |     0      |     0      |     0      |     0      |     1      |
|     assembled      |     0      |     0      |     1      |     0      |     0      |
|      assessed      |     1      |     0      |     0      |     1      |     0      |
|      assigned      |     0      |     0      |     0      |     1      |     0      |
|    assignments     |     0      |     0      |     0      |     0      |     2      |
|     assurance      |     0      |     0      |     0      |     0      |     1      |
|     astrology      |     0      |     0      |     0      |     0      |     1      |
|        ata         |     0      |     0      |     0      |     1      |     0      |
|        ate         |     0      |     0      |     0      |     1      |     0      |
|       atomic       |     0      |     1      |     0      |     0      |     0      |
|       attach       |     0      |     0      |     0      |     0      |     1      |
|     attendance     |     0      |     0      |     0      |     0      |     1      |
|     attending      |     0      |     1      |     0      |     0      |     0      |
|     attention      |     0      |     0      |     0      |     1      |     0      |
|     attraction     |     0      |     0      |     0      |     0      |     1      |
|      auckland      |     0      |     0      |     0      |     0      |     1      |
|       audit        |     0      |     0      |     0      |     1      |     0      |
|     australian     |     0      |     0      |     0      |     1      |     0      |
|      authors       |     0      |     0      |     0      |     0      |     1      |
|     automation     |     0      |     1      |     0      |     0      |     0      |
|    availability    |     0      |     0      |     0      |     0      |     1      |
